book	chapter	ms	bytes	sha256
2CH	29	486000	3889260	8067435db310fb4e43cb8723654b710899a3bc2a5a784c2ee66eabf772e3d927
2CH	30	377208	3018860	62a775584dc4b8f2184af1c28aa4354bb7d27c22c45e516f3cfb5c4994cb4e46
2CH	31	328632	2630367	7f119e5bf5b1f2ff56ec47a92718bc7772de3b08d14eef9030474835fcead3fb
2CH	32	445008	3561371	0eb98874edf78d6517de6a3089354dd607332cd60e600c1dc0d139082c9ca083
2CH	33	316728	2535072	471d9c85571c5a29a85fad9e6f7a5937534930ff78f7b78dd5e40cbe5da48cab
2CH	34	506880	4056234	563ad32680a9d82bb50df49f0a19a4e53043c3762f05a8ce86a2c64ddf030bc7
2CH	35	418800	3351764	97a4dde399b6f5f3bc7ad1bbc1876fc6eb66196d314669b7b904c9f71d656f19
2CH	36	344952	2760979	31dd0fe3fd31f07e94b78b58ee2a5e210dccf5e024ecec25011babf7879faaee
EZR	1	171120	1370207	badc48d29b7466e5d7951dacef29e819a88d37e08dfacefe5bbf0c1aa4e02183
EZR	2	441312	3531683	3f875d6de8a8296dab6720fb42f7329b49490388b118cfb51db774c6cbd6a5fc
EZR	3	243600	1950125	fb70396ee744cf1c65591aceb0c83e6c9d6e8449d22c0add8d4b5535ca7d38f3
EZR	4	337344	2699944	0e6b0882b0ca7abf75bbddba09ff8c0218746e4d4e7d99d1e390298ee074e0b9
EZR	5	239472	1917106	cbb39fd5159e26c0eb21fd8d12fec77533b916b8a9ff994507d65075bcd61612
EZR	6	333720	2671105	15dae4511d5fa00e048f1a86dc936d516cda217a13498154fc503a1a75f3d824
EZR	7	356088	2849991	a8204c7796c946f8f746a9c0f361a7ec273b59a43de2abf58652f53ea36f1510
EZR	8	422136	3378292	b7359e2c72c50050ed2cb186a00ae1cf9aa4c4fbdfab557807a205605a1af46f
EZR	9	268896	2152417	2a85a713e6e29e5285ca3e94b7e9d93b451b3bba745838cffcbc0b26232eb410
EZR	10	422832	3383937	9760ec7a631b945dd2d828dce5acc6503cd185a4d198d7ef0c98cba2b95be8e8
NEH	1	171504	1373347	7d5cb845e97423dee08fbba018d2e2b008e1e8143af33a88f7b7116bfd74a26e
NEH	2	304128	2434337	7012b1028e2c0a6ffa0c732eff71431885854b738d0befd64061697da29dfa15
NEH	3	422040	3377671	e6b0680bbd614942eb0309c30718a444196e89511144ae3612499bdfabfe4098
NEH	4	273912	2192547	dc240d1ba39c2620f25f093da2f672f118927fa290188760c585de9b2e2b6923
NEH	5	293688	2350745	2f9085541c5443b92b058e77168b20e98f3059da491f2846f0f6013a1b0d6520
NEH	6	262968	2104985	de96e6b3438e11e4d7de28fbc83513ca341cc8f91b8f433909f5905ec65b64e8
NEH	7	516240	4131251	b813639fa1e7b5d6ad57d673fc72e8a5943ae1ed6ab8b033cbbc71f1aa58e972
NEH	8	288240	2307277	13e02e3b5e8dd7f50036d982bcc49d2f6b4a4c41312df0c727d266e55d1c48c1
NEH	9	601584	4813987	4084f8c0ae1dae2ca97f59e46f6365d31e9abd7610f8f915693b6ee318ef1778
NEH	10	328512	2629318	7d95e2399565aa16fb901a72ed17628572535636bd9ed41db4b2299819e00992
NEH	11	340128	2722314	b1c98821b35a5308f691e3a2fe9bfe24ea9bd5f74e89a44f7803b97afc7cfb1f
NEH	12	468336	3747986	281c22d7d97729b3e0666fb0c53460dc76efa103cc069de2f42138649cb35e58
NEH	13	423408	3388541	da825565809a7a351ad4abe87cb21f4b43267b3b1357811d85f756944929600d
EST	1	313200	2506849	1148098023d0d253f06fe7444cdce71685d34c2711c7ad9d6ecd0ded953990c6
EST	2	339600	2718127	0e9a97b8875d1c44fa6ba076526394eb8828987abca399f277485d8cfd0dd08b
EST	3	233784	1871551	e051476287f5d164561c77b4964ab1ef0512b97b0dae3e45ea68f475967c1e93
EST	4	212784	1703531	9f3321dfa068e7080ad4363410fcc62178bbe7ecbb073f0a90ea38c42a72f6f8
EST	5	195120	1562261	c65a3c966df8b7e16af2f2515c9bc2f19efb2ec41110fa1c3ddac8c60d8659b3
EST	6	191400	1532586	42f0c031f4dfedee1dba045c5ac0560171fe6b10d590db94ace75a4a9c8ac969
EST	7	146136	1170424	8979caf8b1cd2119111d61d700e8ecdd4b0f9504e0ea12e98aac503714291e68
EST	8	267696	2142806	11d66d53f20f78d56ea9945288951669b1f8f2b880da68fcff337766edbb8757
EST	9	407640	3262310	cb3042a16fbc7e22c46f17caed0d2296ff5cde0b8242dcb061b920d0f6b17ba2
EST	10	49440	396785	3379f459928987b204e6c003d0ae368b28ed79e153b6d358e633d48d4a997b29
JOB	1	257088	2057957	8eb34bb6e28cd1b38cc400924fdf316fdef8ea551deca1df0d2e65fc82ea67c3
JOB	2	172824	1383788	382564bc64929ee574a4a4cbf5aef5ef0bb206edfb51eba80204128e02503bab
JOB	3	179640	1438332	870d7314da62a22918aa5a2e7a0e02ecb299bea858b4a87011a53a257ab1e5db
