book	chapter	ms	bytes	sha256
LEV	20	279096	2233599	6707595ecfbea9716043a11a449b13642b8abe5d3d0f3ace193076ea93bf769a
LEV	21	194664	1557968	a3c1c5766dc91e6a0f670fe79e59c326e23ae7f80fa6efc5a187ece34037970d
LEV	22	292392	2339970	301b80526eb325b5a9b3a943d59f98329347f0b3bb8724fd09702d46c6ff6428
LEV	23	414696	3318412	80414a7cc1fe4af9495540ac660ccd0fbff2b0ae9d7d967475c068647fc56e8e
LEV	24	191856	1535608	21b1901a11bf2e2ceba02d6f984edab11f493a1d9f7f3b446a767f13fe3d2480
LEV	25	485640	3885792	83694e6d7c82e59a10ce96a251b2e50ed521c403504e8f368e1834aa27d3cffd
LEV	26	429504	3436695	fa04afb8c950e38424308b33a68c04478f183095b77113ce4a694a54403c84c4
LEV	27	318624	2549786	568871df30690b1c424a1ecde8a7a5318392b97149fde901c35b8fb2000f34ca
NUM	1	416976	3336590	83f7a0ae5b6dfcca860b4eecab2fd168212e8a9465bb50ce29abbdff750ab10b
NUM	2	235968	1888570	4d388cdd96888397c4ef45409a719ebf2f984bbdd7115e007ba12e8ef8d9b626
NUM	3	413520	3309004	261529ee975dd075cc363f4d3c7e6f60e8e91cf2801cb4892a6ba8704176e6b6
NUM	4	400728	3206604	68a323767e52e10ed4bad990e66f0bdb4f5336a40ad5698c286ea4e9782781da
NUM	5	306672	2454069	f060d1dee55e9c51aef5da8ca8ed89c328b14ed0da902f8b0d1a01e4de52c647
NUM	6	264360	2115731	beda323647e370c43c52fcbcbee1e9f99994ab1e9f274a5646873a52035f5bd0
NUM	7	767352	6139633	13785ecf4add0f4acf2e8e2ec7079aced89913189ad8366b045a96a0c6abfc73
NUM	8	238152	1905915	ed3f2f65cf8aaac28370ae0d67e07ddeb5a9a1927d3dcc03181edc63e975211e
NUM	9	237000	1896720	729999bedfc50bd0206ed8a59234170e4fe3a0146bfac5071fa4d02872fd1a1c
NUM	10	272616	2181770	e3e871bc61bbbfffa16a4f299f157f92313bb34e4708bbce3691e59f33819228
NUM	11	355992	2848624	6789ecf937ea7b710bf0aed63ede01a82e3c7d418182247d0db73d2e78942bfb
NUM	12	145440	1164249	9b96b3c58f4b3842889afa13c3dfd5e5860dd2d5c8d519c3dbdc00b5fab450dc
NUM	13	251400	2011870	5b7d1a7e9b4c74609aacab34056427146a6fcaf21b07063fe2b172e60fcc05fa
NUM	14	421513	3372954	d4cc66e02b5a5b36b2956fda2f9c8322b26827d8fba79c9564e1739b3540652e
NUM	15	363504	2908810	8b13d9c39de5a7a9bc7c18a1afe11e2e9abd72c3ebda42847585c4271a35d4e0
NUM	16	485928	3888089	655f8541aca00874d7453ce60c2f8c9618231c95db85b5f2f884f2d9a1226284
NUM	17	107808	863318	d0a62a696d828fd2b8ae4dcf9ae296289cb42a8c79e8ed200649e3aea96652fc
NUM	18	361584	2893346	36849097338ffd2d6b74ecfa3d5b8bf6dd7c376bc8abdd2cece777bbc0e0665b
NUM	19	258120	2065787	ee279675ca36ff0a607705441c568421e53f6b1a4d150f4a9384a7ebc494a424
NUM	20	275496	2204758	80b28d8f38a2eba7ce088cdf64438890f67560cba89c33d903e00d04af13878a
NUM	21	330768	2646959	f0c4de45c8b2740da6c3faf88809646b77320b1ace51b2fd85a820caac3fdc88
NUM	22	401400	3212040	6ba0e061386cda04c47be620eb6fb26428ac92dea6a172f9cc3d729343e5f320
NUM	23	271080	2169441	afdb07d3fc32c804a89ab19263f0577eeffbdd1cec9c77813bca0b894f73dbfa
NUM	24	240072	1921382	9d21a4f01d398ff33d26ad1ed85cce30b77a1521d499ac664fd958f17407f269
NUM	25	152736	1222554	edf78ab7c874a72e59399379b49d2c503b2fe90a0e16ceebff21a157d6abce3e
NUM	26	533736	4270730	180ad266243cfa176688197aa66064854ec7caec4832a3d18b3e4e8a1b1ad6dc
NUM	27	218472	1748556	17ec962c9c8a91c483472d6f3d15821b093128d3137fc0ecc314a5f6b0790bc5
NUM	28	287016	2296918	9d197f762c073c69158885bbe2522585baa07819c3aa077003e626acc266b4fe
NUM	29	373657	2990104	99f5947a425b2b2c60c5eeea159e85b9b4d7df8736ccdf5d1ed3b284c34d00e4
NUM	30	155976	1248468	52440385cfaca112ed6a1f722a628eab57d5c2e1f5b3f6559125870c8c6bb3d2
NUM	31	402480	3220608	469b9226696859ae3b1d3dfe78ecf26f22ae91cc3c4ce7af1b2961de9c65ab70
NUM	32	368976	2952487	323cba33384e57d2f5fda1c277cb09d69128cf7a3125c6ce5c5a2eec67188858
NUM	33	351024	2808918	86b368a04533fc3c39e00e08c04d68b66d17987a6394633fa715e9cd9a3ebeda
NUM	34	188688	1510319	77870cb48dfb9aff738220c8c06f2a2377243401ec6a4264b14157a5ff7030ea
NUM	35	324312	2595341	9d7c0318bab8d5323a79af8609faaaa9d15d2316b44e931f8d44dd45d78023d6
NUM	36	142344	1139589	b60817510d489fb227f62fa87296f2752fe642dfd1c69adea0b4bbec7d00d343
DEU	1	433968	3472430	14163bd944f87775f6d81b047486efdb35816b3c9ae394f01bd941675c31029a
DEU	2	362616	2901707	f879e3a582ee549314f1b3811cc3cdfa9477e6db36e8c1d611e1d932faec046d
DEU	3	312624	2501720	de97c6e2220d3f10afaaa6f125e16400f57dff25d2c36b940e40bbb979ef11fe
DEU	4	522792	4183170	c0d38ead1706dd17afc5c8bf98af501e003c6e4e2e7301c1b6a25ff9cc134ee2
DEU	5	321120	2569639	d494a08943130b834b56fefefe9b297331ac64e962716a984830baa496de82b9
DEU	6	235584	1885439	018269bb5e51fe566e31b6e06a877b6360e474906b394043647f8ac4e9e6664f
DEU	7	308808	2471209	e4856819ba3473b13e51dfc18f074883caa66d519035019e60dfc4e230e9c972
DEU	8	199032	1593077	8aee3fcb49d5bae2b830599b23cc98a48119dfe7bc63a837c2bebf6bf093e0dd
DEU	9	345408	2763990	8736a10b08691f9cf49ef865c6c6b46a2ddd17876b7b03a28316fb3b406dbcf4
DEU	10	225984	1808537	3273b3c25b2a9329a431fd7a9ca484ea35bd2de57c86b71b1ac8050f8543f6b4
DEU	11	312912	2504021	b84cc0f95236268278a456ee0d0321ff822ebdccc56bb12b3401f95321dfecf9
DEU	12	354936	2840269	8b1e35b964cc8bcbdf3599933565d76cc2592a830dbe990a906af57fd943165e
DEU	13	208464	1668521	a8fbf49752d101397e46935eaaaed11d72b2e525ab42395af2f00b0320e1958b
DEU	14	248568	1989304	217710b24eaa1e1ea158d4a781210745769647976fb427ccd11921cf02bba9e8
DEU	15	243624	1949807	da1d77e34fea5b9675d01571d659e85346455f4f28abe242f8dbb6986b3b8d04
DEU	16	244320	1955241	deb71de83556a03cd6fd1b007ff279a4acff76222ddd1ced6b139aa27ffa964c
DEU	17	235920	1888158	c267dad00c643d2bd75ff5a95e8bc1749edc73390887f3ca5169a71cc6e224b6
DEU	18	212280	1699032	8706bfc27a4b0e3f8b78d5dc711de040731d148a293621f8fe724c8a91b78aed
DEU	19	223272	1787012	ceaea174cb5befd4e95cb8cd728e6919aca7f7516c0194545aaed2cea6130dd2
DEU	20	215568	1725363	a022dddd402c4136464d8a49ffd0b54aae11a1b5e17bdcec83d06c7cc52babf3
DEU	21	245448	1964436	c9b98fa4dd0c672963949f54d6ea94397de716926d01197387eaa1c78cd8a473
DEU	22	305040	2441118	89156f96f465ecb23a802ae6e7d700f2b5531c2aa62b1bd4aa76f8a054e24726
DEU	23	220896	1767995	8c54bacd47f4ab689c25c0775a0c819aec1e6ca7ba1ca8ee18aa006afbc2d36a
DEU	24	234720	1878545	d41c48183fc2894af1622963495bb70452b786b32c474fb6196fd7179cca9141
DEU	25	184440	1476259	dec07e32c7d7b7f3b574e30302c342ae5d36777ae4eda9940fd2acf57d986f89
DEU	26	234816	1879381	e428ae3162f624b1e3f8f0db69489166c36d8b80e38833aa7fd512c7e085867b
DEU	27	245808	1967152	4e230453c094c9b80aa0fc792adf11c7a7bdcef08870329d16b0b640a45e6cd0
DEU	28	712416	5700155	7fc719cf35ef7c486eb19738b516b98726fe0d5f3e06e4c0a104dd8b1f711fa2
DEU	29	308280	2467032	ff3955dc8f1a93ecfe51af319bd1f5f993a0dcea8902391d337e15f65a4d3180
DEU	30	234984	1880635	83519dc9141dec9fa80a44629e8a61da6916ea207c1c37d3b889a54ea13fa1ff
DEU	31	376872	3015812	f1c553023b261a8d76d76d3ea61c24bb222910b275ce78ef9af80a762a513a38
